VIN,CLAIM_JOB_ID,CLAIM_REG_DATE,TOT_CLAIM_PAYMENT_USD,DAYS_BACK,CLAIM_TYPE,CLUSTER,PART_REPL
1M2AU02C3FM008946,7554-D879-146683-1,2017-04-25,2562.93,1711,EGR_COOLER,0,1
4V4NC9EH8FN178805,7554-5451D-863127-1,2017-10-10,2479.38,1543,EGR_COOLER,1,1
1M2AV04C8FM011965,7554-C614-1753-1,2016-02-01,3346.6,2160,EGR_COOLER,0,1
4V4NC9EJ2FN184344,7698-2716K-132308-2,2016-12-15,2274.76,1842,EGR_COOLER,1,1
4V4NC9EH6FN181508,7554-5086D-734959-1,2017-03-31,2310.81,1736,EGR_COOLER,1,1
1M1AW07Y9FM047124,7698-N953-104682-1,2016-06-16,1014.95,2024,EGR_COOLER,2,1
4V4NC9EH8FN187441,7554-6906U-142428-1,2018-10-16,62.51,1172,EGR_COOLER,1,0
4V4NC9EH9FN184984,7554-5706D-743198-1,2017-04-12,2529.54,1724,EGR_COOLER,1,1
1M1AW09Y7FM045661,7554-C652-412573-1,2016-02-23,2895.98,2138,EGR_COOLER,2,1
1M2AV04C8FM013327,7554-C695-7192-1,2018-04-24,3609.91,1347,EGR_COOLER,0,1
4V4NC9EJ4FN928056,7698-2815K-69680-1,2015-12-04,2420.01,2219,EGR_COOLER,1,1
4V4NC9EJ4FN928056,7698-2815K-129088-1,2016-11-28,269.87,1859,EGR_COOLER,1,0
1M1AW01YXFM007787,7554-A228-965537-1,2018-03-01,3852.75,1401,EGR_COOLER,2,1
1M1AW01YXFM007787,7554-A228-562044-1,2020-03-19,3305.96,652,EGR_COOLER,2,1
4V4NC9EH2GN929303,7698-2773K-4742-1,2018-09-24,1387.54,1194,EGR_COOLER,1,1
4V4NC9EH2GN929303,7698-2773K-3051-1,2016-11-09,2422.96,1878,EGR_COOLER,1,1
4V4NC9DG2GN940214,7554-5794D-674218-1,2017-01-10,2594.48,1816,EGR_COOLER,1,1
4V4NC9DG2GN940214,7554-5794D-674218-2,2017-01-10,250.0,1816,EGR_COOLER,1,0
4V4NC9EH4GN943011,7554-5269D-689323-1,2017-01-31,141.12,1795,EGR_COOLER,1,0
4V4NC9EH4GN943011,7554-5269D-832698-1,2017-08-25,1529.91,1589,EGR_COOLER,1,1
1M1AW07Y6GM055411,7554-A327-214777-1,2019-01-21,5031.76,1075,EGR_COOLER,2,1
4V4NC9EH9GN951802,7554-6906U-363143-1,2019-07-23,80.05,892,EGR_COOLER,1,0
4V4NC9EH1GN956959,7554-5037D-710480-3,2017-03-30,780.8,1737,EGR_COOLER,1,0
4V4NC9EHXGN955390,7554-5474D-25731-1,2018-01-31,2922.72,1430,EGR_COOLER,1,1
1M1AW21Y2GM011863,7554-C602-7364-2,2018-04-24,2541.96,1347,EGR_COOLER,2,1
1M1AW07Y6GM053433,7554-A228-663326-1,2020-08-05,2779.3,513,EGR_COOLER,2,1
4V4NC9EJ1GN943115,7554-5674D-458908-1,2019-11-12,8884.0,780,EGR_COOLER,1,1
4V4NC9EH7GN957775,7554-5794D-606116-1,2016-10-06,1900.64,1912,EGR_COOLER,1,1
4V4NC9EJ3GN961941,7554-5493D-347021-1,2019-07-01,3029.74,914,EGR_COOLER,1,1
1M2AX13C7GM034737,7554-F286-726617-1,2019-06-03,2896.19,942,EGR_COOLER,2,1
4V4NC9EH7GN975242,7554-5477D-418855-1,2016-02-29,337.56,2132,EGR_COOLER,1,0
1M2AX04C7GM032110,7554-A357-900802-1,2017-11-30,3235.83,1492,EGR_COOLER,2,1
1M2AX04C7GM032110,7554-A357-218747-1,2019-01-24,3149.4,1072,EGR_COOLER,2,1
