VIN,CLAIM_JOB_ID,CLAIM_REG_DATE,TOT_CLAIM_PAYMENT_USD,DAYS_BACK,CLAIM_TYPE,CLUSTER,PART_REPL
4V4N39EG8FN185891,7554-6906U-888811-1,2017-11-14,170.02,1508,EGR_COOLER,9,0
4V4NC9EH2FN909907,7554-6906U-8527-1,2018-04-26,2181.68,1345,EGR_COOLER,3,1
4V4NC9EHXFN178644,7554-5213D-424708-2,2016-03-08,1871.27,2124,EGR_COOLER,3,1
4V4NC9EJXFN911035,7698-2720K-222755-1,2018-07-06,982.13,1274,EGR_COOLER,9,0
1M2AX13CXGM035087,7554-C621-6870-1,2017-02-13,2525.14,1782,EGR_COOLER,6,1
4V4NC9EH1GN973843,7554-5564D-239720-2,2019-02-20,132.42,1045,EGR_COOLER,9,0
1M2AN07C1HM026192,7554-F706-16853-1,2016-07-27,135.56,1983,EGR_COOLER,2,0
4V4NC9EH9HN981206,7554-5424D-114485-5,2020-01-22,2350.43,709,EGR_COOLER,5,1
1M2AX18C4JM040723,7554-D877-734614-2,2020-02-12,3760.01,688,EGR_COOLER,0,1
4V4NC9EH6KN898999,7554-5262D-508133-1,2020-01-15,2670.92,716,EGR_COOLER,8,1
4V4NC9EH0KN900911,7698-2701K-297620-1,2019-09-17,3058.5,836,EGR_COOLER,8,1
4V4NC9EH7KN195797,7554-4324D-484497-1,2019-12-16,2880.22,746,EGR_COOLER,8,1
4V4N39EG8FN185891,7554-6906U-888811-1,2017-11-14,170.02,1508,EGR_FG,9,0
4V4NC9EH2FN909907,7554-6906U-8527-1,2018-04-26,2181.68,1345,EGR_FG,3,1
4V4NC9EHXFN178644,7554-5213D-424708-2,2016-03-08,1871.27,2124,EGR_FG,3,1
4V4NC9EJXFN911035,7698-2720K-222755-1,2018-07-06,982.13,1274,EGR_FG,9,0
1M2AX13CXGM035087,7554-C621-6870-1,2017-02-13,2525.14,1782,EGR_FG,6,1
4V4NC9EH1GN973843,7554-5564D-239720-2,2019-02-20,132.42,1045,EGR_FG,9,0
1M2AN07C1HM026192,7554-F706-16853-1,2016-07-27,135.56,1983,EGR_FG,2,0
4V4NC9EH9HN981206,7554-5424D-114485-5,2020-01-22,2350.43,709,EGR_FG,5,1
1M2AX18C4JM040723,7554-D877-734614-2,2020-02-12,3760.01,688,EGR_FG,0,1
4V4NC9EH6KN898999,7554-5262D-508133-1,2020-01-15,2670.92,716,EGR_FG,8,1
4V4NC9EH0KN900911,7698-2701K-297620-1,2019-09-17,3058.5,836,EGR_FG,8,1
4V4NC9EH7KN195797,7554-4324D-484497-1,2019-12-16,2880.22,746,EGR_FG,8,1
4V4N39EG8FN185891,7554-6906U-888811-1,2017-11-14,170.02,1508,EGR_SENSORS,9,0
4V4NC9EH2FN909907,7554-6906U-8527-1,2018-04-26,2181.68,1345,EGR_SENSORS,3,1
4V4NC9EHXFN178644,7554-5213D-424708-2,2016-03-08,1871.27,2124,EGR_SENSORS,3,1
4V4NC9EJXFN911035,7698-2720K-222755-1,2018-07-06,982.13,1274,EGR_SENSORS,9,0
1M2AX13CXGM035087,7554-C621-6870-1,2017-02-13,2525.14,1782,EGR_SENSORS,6,1
4V4NC9EH1GN973843,7554-5564D-239720-2,2019-02-20,132.42,1045,EGR_SENSORS,9,0
1M2AN07C1HM026192,7554-F706-16853-1,2016-07-27,135.56,1983,EGR_SENSORS,2,0
4V4NC9EH9HN981206,7554-5424D-114485-5,2020-01-22,2350.43,709,EGR_SENSORS,5,1
1M2AX18C4JM040723,7554-D877-734614-2,2020-02-12,3760.01,688,EGR_SENSORS,0,1
4V4NC9EH6KN898999,7554-5262D-508133-1,2020-01-15,2670.92,716,EGR_SENSORS,8,1
4V4NC9EH0KN900911,7698-2701K-297620-1,2019-09-17,3058.5,836,EGR_SENSORS,8,1
4V4NC9EH7KN195797,7554-4324D-484497-1,2019-12-16,2880.22,746,EGR_SENSORS,8,1
