Comparison of Random Number Generation Methods
============================================================
Index | random.randint | random.sample | random.uniform | numpy.random.randint
------------------------------------------------------------
    1 |         320954 |        132552 |        239591 |            282333
    2 |          72530 |         98824 |         71402 |            100609
    3 |         118279 |        146748 |        111430 |             63004
    4 |         110884 |        261586 |         97309 |             53078
    5 |         222855 |        182948 |        161258 |            285558
    6 |         303528 |        261952 |        260208 |             90178
    7 |         306493 |        312256 |         63753 |            131641
    8 |          30490 |        214136 |         88977 |            210357
    9 |         146018 |        224461 |        252979 |            107343
   10 |          37745 |        208700 |        169079 |             79957
   11 |         235826 |          7787 |        205594 |            186412
   12 |          43802 |        119054 |        289952 |            281533
   13 |          44278 |         47107 |        269934 |            105806
   14 |         130090 |        272298 |        229497 |            235759
   15 |         280934 |        240342 |          8879 |            143882
   16 |         195691 |        264121 |        113769 |            159762
   17 |         291217 |        283136 |         80289 |             55796
   18 |         101476 |        181332 |        257214 |             98975
   19 |          10342 |         40627 |        132984 |            118243
   20 |         239908 |        260859 |        301375 |            310259
   21 |         230643 |         71206 |         74951 |              1664
   22 |          68698 |        316742 |        134497 |             92078
   23 |          49038 |        134647 |         66537 |            158466
   24 |         321468 |        173733 |        224522 |            209578
   25 |         275372 |          8104 |         46785 |             23755
   26 |          15335 |        261091 |        261679 |            116980
   27 |         191699 |         13157 |        115023 |            310966
   28 |         307425 |        139088 |         41023 |            150111
   29 |         230275 |        268925 |         32189 |             98106
   30 |         243594 |         66776 |        243323 |            114099
   31 |         120066 |        312229 |        201336 |            220795
   32 |         115661 |         39486 |        301245 |            199647
   33 |         220756 |        137926 |        199601 |            266517
   34 |         210734 |         59980 |         39676 |            302225
   35 |         310514 |        219779 |        248159 |            265916
   36 |         105042 |        215101 |        282169 |            318151
   37 |         132472 |         26305 |        271620 |            299335
   38 |         213773 |         11903 |        127882 |            113880
   39 |          58704 |        239661 |        200735 |            302012
   40 |         119095 |        130672 |        193155 |            109230
   41 |          45101 |        233618 |        299169 |            321431
   42 |          71312 |         83349 |         93234 |            306547
   43 |          77761 |        166986 |        142191 |            109360
   44 |          60279 |        194602 |         27671 |             10865
   45 |         152615 |         85414 |        198978 |            107884
   46 |         226694 |        195187 |          3224 |            132208
   47 |          92000 |          6750 |        174894 |            192956
   48 |          14314 |        230216 |         11011 |            126816
   49 |          66271 |        137424 |        255594 |            154726
   50 |         188408 |        109628 |         18326 |            310886
   51 |         194385 |        298243 |        140978 |            239015
   52 |         292806 |         46501 |        139963 |            306487
   53 |         218808 |        296996 |        286477 |            215598
   54 |         300658 |        215506 |          1239 |            187299
   55 |          73292 |        298766 |         13392 |              2993
   56 |         305994 |        183839 |        140011 |             86110
   57 |         227854 |         51170 |         21930 |            109541
   58 |          50544 |         40242 |         78467 |            203438
   59 |         204492 |        130639 |        305054 |             26620
   60 |         154202 |         45999 |         36246 |             78912
   61 |         222234 |        183394 |         76063 |            231957
   62 |         147217 |        232599 |        267321 |             67224
   63 |         236479 |        207490 |        157347 |            235205
   64 |         156239 |        311449 |        298306 |            254113
   65 |          77060 |         46661 |        103258 |             41749
   66 |         184369 |         55025 |        192819 |             50267
   67 |         118098 |        285032 |         89244 |             67397
   68 |          30249 |           984 |        134311 |            229304
   69 |         187635 |         83678 |        277056 |             31739
   70 |         187788 |        173935 |        171288 |            254449
   71 |          26461 |         22544 |        116490 |            310854
   72 |          71988 |        239441 |        123496 |             37340
   73 |          12950 |        148108 |          1921 |            140933
   74 |         316291 |        111022 |         15741 |            233191
   75 |         231263 |        265795 |        119226 |            145495
   76 |          38437 |        162956 |        194884 |            109673
   77 |         253193 |        176665 |        315458 |             81316
   78 |         106719 |        259309 |          2277 |             94300
   79 |         144482 |         54686 |        132907 |            250438
   80 |          94110 |        216229 |        233872 |            111236
   81 |         303272 |        192807 |        196282 |            111221
   82 |         108288 |        229380 |        138617 |            243180
   83 |          10739 |         77281 |        119293 |             43157
   84 |         286742 |        304853 |         89935 |             70163
   85 |         151052 |        135033 |        255449 |            207490
   86 |          59822 |        221620 |        136793 |             10588
   87 |         128154 |        227463 |         76000 |            318913
   88 |         148592 |        156707 |        137358 |             16880
   89 |         230936 |        289867 |         72145 |            235894
   90 |          79974 |        186393 |         66964 |             83338
   91 |         233635 |          6347 |        181898 |            111461
   92 |           9837 |         19516 |        150016 |            307847
   93 |           9727 |        185368 |        267860 |             87535
   94 |         271596 |         18871 |        223680 |            258326
   95 |         312848 |        104524 |        215369 |            266872
   96 |         153167 |        267051 |        118615 |             74124
   97 |         186279 |        117508 |         23953 |            278644
   98 |         309626 |         65962 |         64018 |             77839
   99 |         250962 |        144237 |         57254 |             39086
  100 |         223564 |        247977 |        153739 |             65017
  101 |         163956 |         84893 |        175701 |            129968
  102 |          79397 |        299416 |        212828 |            250400
  103 |         126768 |        207874 |        168086 |            204919
  104 |         311214 |        130131 |        294876 |            194583
  105 |         160169 |         65820 |        264638 |             58104
  106 |         257809 |        241712 |        251314 |            280570
  107 |         274233 |        188785 |         32440 |            112600
  108 |         182747 |        187894 |        170450 |            243656
  109 |          85720 |         78122 |        314471 |            230420
  110 |         193143 |         33587 |        125134 |            296549
  111 |         164704 |        247006 |        147161 |            314996
  112 |         237909 |        303905 |        171652 |            319304
  113 |         309423 |        196763 |         33797 |            229015
  114 |         260478 |         23436 |        260891 |             14246
  115 |          64339 |        224492 |        105772 |            282019
  116 |         151116 |         75442 |        145509 |            208163
  117 |         316908 |        278949 |        149542 |             51363
  118 |         295981 |        250791 |         62332 |            105901
  119 |          60956 |        174135 |         62778 |            143349
  120 |         321197 |        128426 |        123498 |             62413
  121 |         298885 |        200103 |         14124 |            275452
  122 |          27021 |        266857 |        312951 |            167772
  123 |          95924 |        177694 |        235329 |             45635
  124 |          75804 |         59072 |        227659 |            127297
  125 |          22916 |        315813 |         91008 |             28966
  126 |         311893 |        214234 |         74419 |            237693
  127 |          12278 |        239140 |         26044 |            263174
  128 |           9580 |        180882 |        192055 |            120844
  129 |         261971 |        322118 |        115534 |            180521
  130 |         149706 |        109753 |         81224 |            319520
  131 |         285816 |        246815 |         59855 |            176249
  132 |          94966 |        276036 |        106075 |             39051
  133 |         164180 |        214105 |        288594 |            124562
  134 |          67650 |          1803 |        178089 |            282072
  135 |         247562 |         35772 |        312690 |             23172
  136 |          50356 |          1775 |        243274 |            164043
  137 |         158776 |        138524 |        139496 |            172930
  138 |         274916 |        308535 |        206894 |             70092
  139 |          42862 |        254185 |        308041 |            212771
  140 |           7264 |         23835 |         12401 |            256547
  141 |          58915 |          7429 |        249850 |             83315
  142 |         107169 |         79643 |        207772 |            191604
  143 |         219539 |        154695 |         96913 |            305478
  144 |         169001 |         66656 |        149980 |            300285
  145 |         285965 |        309632 |         57016 |            318685
  146 |          50621 |         55937 |        133904 |              6798
  147 |         255845 |        310300 |        211085 |            119920
  148 |         263233 |        140413 |        193173 |             24771
  149 |         309234 |        178818 |        279148 |             38499
  150 |         311733 |        292205 |         52148 |             82390
  151 |         186103 |        264959 |        254333 |             73621
  152 |         194637 |        194049 |        315727 |            321873
  153 |         176869 |        161575 |         96822 |            301887
  154 |         137969 |        264461 |        186032 |            271885
  155 |          89097 |        303879 |         97729 |            259803
  156 |          47184 |        225446 |        295101 |            182239
  157 |         102620 |        103255 |         21132 |            297579
  158 |          85014 |        102717 |        117022 |            185260
  159 |         311373 |        319470 |         42915 |            251766
  160 |          28168 |        111627 |        126492 |            146418
  161 |         214015 |        254689 |        124746 |            297138
  162 |          67679 |         51931 |        146177 |            307606
  163 |         121409 |         81511 |        287353 |            210643
  164 |         269047 |         10170 |        211697 |             26108
  165 |         210841 |        156778 |        193717 |            131772
  166 |         311508 |        148180 |        185734 |            188598
  167 |         198933 |         93792 |        220750 |             31226
  168 |          64230 |         37416 |        172256 |            177514
  169 |          23975 |        107838 |        170033 |            287754
  170 |          36184 |        182266 |         11312 |            163130
  171 |          59451 |        186874 |         93901 |             80312
  172 |         316999 |          6254 |         66259 |               988
  173 |         138258 |         20997 |        184495 |            169207
  174 |         261886 |        288632 |         94068 |            161646
  175 |         192404 |         48236 |         67908 |            183002
  176 |         155506 |         41359 |        314730 |            239511
  177 |         214822 |         53729 |        132541 |            267096
  178 |           2126 |        236253 |        134493 |            257958
  179 |         117798 |        250037 |        162535 |            248963
  180 |         180597 |          1860 |        301586 |            202609
  181 |         205124 |        290094 |        236298 |             83000
  182 |         284976 |        154507 |         91520 |             91652
  183 |         224353 |        138382 |         91344 |            186983
  184 |         178735 |         99244 |         44772 |            303924
  185 |           4693 |         48648 |        178346 |             86247
  186 |          65031 |        186704 |         43007 |             17076
  187 |         231806 |         68213 |        157630 |            143880
  188 |          63147 |        103897 |        294563 |            233255
  189 |         314669 |        228581 |        198901 |            249185
  190 |         247366 |          4250 |        318788 |            198098
  191 |         128859 |         19662 |        135319 |            279774
  192 |         278532 |         93165 |        147102 |            229340
  193 |         315397 |        219921 |        164065 |            222950
  194 |         113922 |        267743 |         71234 |              9357
  195 |          96552 |          3411 |        223294 |            309453
  196 |         266855 |        176378 |        306911 |             55141
  197 |         249105 |        127996 |        127538 |            252953
  198 |         151362 |        197878 |         24052 |            228689
  199 |         241847 |        300785 |         55603 |             29479
  200 |         252759 |        184870 |         19481 |            181422
  201 |         234347 |          7134 |        193294 |            277404
  202 |          85857 |        219318 |        289969 |              7940
  203 |          92614 |         26676 |        273545 |            206463
  204 |          97360 |        258242 |        251699 |             67141
  205 |          16118 |        120578 |        175834 |            256562
  206 |         117631 |         62384 |        213037 |            244075
  207 |         289335 |        218360 |        239691 |            270242
  208 |         218297 |        272899 |        266323 |            141867
  209 |          78730 |        130967 |        244256 |             76937
  210 |          36360 |        170769 |        176849 |             57298
  211 |           1505 |         44062 |         56263 |             36507
  212 |         298370 |         70085 |        312099 |              8106
  213 |           6539 |         73986 |        292540 |            252958
  214 |         125149 |        179328 |         18141 |            290143
  215 |         300100 |        310091 |        126104 |            295059
  216 |         160552 |        287527 |        101704 |            265048
  217 |         256192 |        302348 |        156160 |            294405
  218 |         261911 |        114151 |         85027 |            223460
  219 |         178434 |        231211 |        122714 |            185831
  220 |         202756 |        295395 |        296262 |            261445
  221 |          13043 |        175014 |        223300 |             84458
  222 |           6497 |        233809 |        302912 |            319436
  223 |         249370 |        195616 |        108285 |             59031
  224 |           8208 |        169075 |        172479 |             79204
  225 |         114761 |        130203 |        113909 |            111358
  226 |          82790 |         16142 |         51339 |            291428
  227 |          68229 |        273842 |        177046 |             81445
  228 |         235525 |        209684 |        280395 |            309469
  229 |          20815 |        297366 |        151762 |            102839
  230 |         187537 |        247751 |        157063 |            275144
  231 |         109295 |        140653 |        177117 |            129138
  232 |         283183 |        239668 |        222164 |             28551
  233 |           6754 |        298080 |        212933 |             82284
  234 |         105529 |          2466 |         42335 |            282987
  235 |         298381 |        244213 |        132201 |            253668
  236 |         282944 |        174222 |        145752 |             86748
  237 |         152229 |        114888 |        190643 |             36580
  238 |         319068 |         85526 |        129071 |            207432
  239 |          81347 |        119341 |         22115 |             11058
  240 |         252442 |        245256 |        241929 |            116570
  241 |         302972 |         68274 |           980 |             97676
  242 |         172957 |         75737 |         94551 |            280629
  243 |         234131 |         42893 |         78070 |            256248
  244 |          46613 |        122780 |          5438 |            115878
  245 |         298043 |         38458 |        249718 |            163674
  246 |         117009 |         59739 |        213907 |              9730
  247 |          45190 |         72601 |         49408 |            120863
  248 |          94166 |         64185 |         53893 |            141975
  249 |         276822 |        189820 |        113638 |            204885
  250 |         121904 |        143271 |        229147 |             41049
  251 |         314110 |        192401 |         21450 |            173506
  252 |          23496 |        246662 |        184446 |            128380
  253 |         188791 |        267518 |        233870 |            243657
  254 |         301536 |        103313 |         64303 |             97661
  255 |         179089 |        214467 |         21864 |             74471
  256 |         281847 |        133463 |        161468 |             30578
  257 |         310834 |        306366 |        239482 |            189983
  258 |          23216 |        165590 |         43559 |            164213
  259 |         240274 |        267489 |         94717 |            157913
  260 |          90607 |        183307 |         46073 |             52772
  261 |         141822 |        106381 |        131100 |             55582
  262 |          37285 |        286957 |        129727 |            241768
  263 |          83874 |         56857 |         34830 |             94491
  264 |         318589 |         80806 |        167650 |             57377
  265 |         258025 |        166690 |         95127 |             33068
  266 |         157059 |         85987 |        250744 |            314098
  267 |         193279 |         59951 |         41190 |             25107
  268 |         295166 |        157047 |        147050 |            234130
  269 |           9120 |         84768 |        138374 |            223291
  270 |         271198 |        283660 |         10753 |            126352
  271 |          63512 |         73656 |         68847 |            152974
  272 |         163373 |         22858 |        273216 |             79125
  273 |         321643 |        225672 |        187632 |            221107
  274 |         303942 |        214660 |         44016 |            299815
  275 |         245930 |        320554 |         16259 |             92263
  276 |          33734 |        247598 |        172704 |            195974
  277 |          35460 |        213157 |        203743 |             17984
  278 |         228968 |        284402 |        204897 |            119267
  279 |         214945 |         43645 |        186085 |            218714
  280 |          46330 |         24780 |         87194 |            191382
  281 |         290471 |        137122 |        312949 |             63192
  282 |         172196 |        285633 |        239635 |             93046
  283 |         118421 |        119467 |        124347 |             68533
  284 |         299227 |        222105 |        198641 |            116129
  285 |         126928 |        274157 |         51446 |             68090
  286 |         228617 |        223160 |         37682 |             40173
  287 |         111633 |        254131 |        110495 |            121717
  288 |         209692 |        144437 |         14944 |             39749
  289 |         132116 |        287308 |        179100 |            313713
  290 |         186501 |        248736 |        293873 |            262347
  291 |         230926 |         67778 |        226766 |            321685
  292 |          27883 |         55500 |        267799 |            125431
  293 |          43804 |        117519 |        117664 |            228196
  294 |         154486 |        293401 |        115795 |            216645
  295 |         143599 |        277712 |         88225 |            192767
  296 |         273323 |        192066 |         83481 |             87345
  297 |          70773 |          4295 |        130904 |            281648
  298 |         174481 |         35947 |        227023 |            110334
  299 |          85733 |        109287 |        305571 |            110310
  300 |         127433 |        139497 |         98602 |             47466
  301 |         220544 |        248001 |        274256 |             38766
  302 |         269685 |         51605 |        107033 |              4864
  303 |          83034 |        158753 |        269293 |             68922
  304 |         303422 |         97408 |        231862 |             72527
  305 |          88045 |        250939 |        231443 |            289579
  306 |         217708 |        110692 |        312308 |             38997
  307 |         106564 |        130294 |        208571 |            141545
  308 |         105985 |         76936 |        170877 |            108123
  309 |          51294 |        210511 |        281024 |             43457
  310 |         281210 |        257126 |         31628 |            238965
  311 |         270380 |        304880 |        167207 |            114246
  312 |         219695 |        243926 |        113779 |            212279
  313 |         291045 |        265283 |         76098 |            152123
  314 |         261695 |         16048 |        156012 |             81015
  315 |          23598 |        193542 |         34141 |            236917
  316 |          69670 |        315460 |         41548 |            172541
  317 |         206780 |        259975 |        307441 |            277052
  318 |          78361 |        239870 |         91975 |            288876
  319 |         299764 |        240688 |          1270 |            222675
  320 |          64295 |        154552 |        310900 |            101281
  321 |         286256 |        216579 |          3071 |            142861
  322 |         109884 |        312951 |        108906 |             69104
  323 |           5685 |        261161 |        137017 |            291638
  324 |          49832 |        279100 |         82063 |            241362
  325 |         133994 |        230247 |        170574 |            222871
  326 |         152311 |        220255 |        121578 |            167407
  327 |         290258 |        236995 |         80193 |            215944
  328 |         223757 |        243217 |        105628 |            141487
  329 |          56056 |        264417 |           812 |            134104
  330 |          96537 |         49268 |         32145 |            228783
  331 |         316342 |         92244 |        186865 |             68220
  332 |         288930 |        110225 |         40286 |             15305
  333 |         175475 |        273604 |        121861 |            300724
  334 |         208291 |         94046 |          3615 |            148301
  335 |         203380 |        125871 |        164296 |             29154
  336 |         239251 |        199449 |         29349 |             35509
  337 |         187747 |        304246 |        141921 |             79759
  338 |         252760 |         63936 |        267369 |            160883
  339 |         192309 |        306455 |        253099 |            168674
  340 |         132371 |        248849 |        219432 |            261374
  341 |         117529 |        118658 |        265770 |            116461
  342 |         263547 |        162161 |        218299 |             48245
  343 |          56340 |        301740 |        255028 |             13748
  344 |         181819 |        308417 |        270534 |            155848
  345 |          82441 |         31989 |         49677 |             85821
  346 |         185507 |        246295 |         31745 |            219253
  347 |         141962 |        298026 |        129076 |            268783
  348 |          26792 |        171541 |        305962 |            208282
  349 |          80244 |        107485 |        285286 |             74642
  350 |         207207 |        254418 |         39361 |            132442
  351 |          31070 |        258881 |        111578 |            127017
  352 |         136441 |         31125 |        283146 |            150232
  353 |         248219 |         63428 |         97025 |            187968
  354 |         309574 |        286530 |        253560 |              7525
  355 |         297601 |         87134 |         72816 |             24257
  356 |          72604 |        314737 |        167887 |            115930
  357 |         306968 |        279967 |         42958 |            225918
  358 |         229811 |        172752 |        261569 |            106061
  359 |         304454 |        307079 |        299353 |             65000
  360 |          87621 |        300477 |         79389 |            300379
  361 |         128576 |         30583 |        201923 |            176155
  362 |          55931 |        237366 |        292422 |            130016
  363 |         164510 |        107893 |         41411 |            277297
  364 |         190546 |        153008 |         33905 |            201357
  365 |          24875 |        221039 |        248679 |            255860
  366 |         170759 |        174841 |        161648 |            159417
  367 |         149681 |        238229 |        245659 |            201177
  368 |         114425 |        230839 |        135675 |            143261
  369 |          51673 |        119708 |        122386 |             97368
  370 |          34166 |        270972 |        151185 |            249719
  371 |          67780 |        120335 |        172850 |            306107
  372 |         223012 |        157335 |        147985 |            299743
  373 |          57195 |        260201 |         23506 |            268866
  374 |          62119 |        267813 |        172299 |            220709
  375 |         177856 |        270559 |         35346 |            257507
  376 |          90162 |         46233 |        245077 |            187443
  377 |         104345 |        178643 |         33647 |             33201
  378 |         257159 |        186380 |        105485 |              2397
  379 |          61318 |        303199 |        149781 |            160157
  380 |          87314 |        278637 |        108901 |            257424
  381 |         235650 |         88243 |        211035 |            221944
  382 |          61477 |        165184 |        129909 |             51827
  383 |         246018 |        290742 |         99874 |            102786
  384 |          94172 |        155280 |        307083 |             36607
  385 |          21369 |        198622 |        167402 |            260447
  386 |         217424 |         37254 |         77177 |             96019
  387 |         246733 |         90118 |        129481 |             22697
  388 |         139666 |         21129 |        261222 |            275788
  389 |         314876 |         94893 |        131881 |            215683
  390 |         248681 |         95272 |        112334 |            142706
  391 |          70761 |        220667 |         39231 |            101678
  392 |          22782 |        288986 |        160654 |             55138
  393 |           6492 |        152665 |        156762 |             79020
  394 |          80039 |         46969 |        222698 |            122761
  395 |         198791 |        284973 |         61927 |              9483
  396 |         218620 |         65637 |        252711 |            185542
  397 |         297739 |        141018 |         61217 |             27467
  398 |         155083 |         76248 |          7408 |            156344
  399 |         287044 |        122923 |         10112 |            321974
  400 |         129606 |        279897 |         71213 |            117338
  401 |         294940 |        150482 |        288186 |            129674
  402 |          43253 |        255974 |        257189 |             11191
  403 |         257967 |        225723 |        202547 |            310017
  404 |         112517 |        300873 |        131222 |            263713
  405 |         161426 |        168734 |        112411 |             35777
  406 |         302562 |           164 |         90324 |             64418
  407 |         123463 |        313799 |        272639 |            247091
  408 |         159422 |         43875 |        157042 |            100095
  409 |         319172 |        192189 |        135784 |            164254
  410 |          34065 |        297857 |        197469 |             42007
  411 |         262328 |        152336 |        123190 |             21682
  412 |          69981 |        255739 |        296506 |             35319
  413 |         178819 |        236565 |        115548 |             20070
  414 |         251210 |        191020 |         68089 |             97682
  415 |         107695 |        109916 |         38013 |            171936
  416 |         228585 |        314303 |          9676 |            129242
  417 |          38225 |        170054 |        268747 |             91270
  418 |         279565 |        253188 |        233736 |            109123
  419 |         260222 |        121628 |        289150 |            321395
  420 |         180805 |        238043 |        230095 |            245172
  421 |         165176 |        179718 |        258082 |            312005
  422 |         106258 |        272408 |        157577 |            316144
  423 |          28302 |        204001 |         64034 |             10744
  424 |         154340 |         62873 |        263793 |            185369
  425 |         169344 |        172717 |        221300 |             96195
  426 |          59861 |        209892 |         27479 |            167308
  427 |         276515 |        158173 |        156367 |            108906
  428 |         247295 |        288296 |         96063 |            253135
  429 |          88930 |        307991 |         17921 |            262184
  430 |         269442 |        163051 |        319423 |            205689
  431 |         298624 |         89611 |        145050 |            107966
  432 |         216551 |        228521 |         81789 |            140769
  433 |          71633 |         85082 |        318570 |            178193
  434 |          16862 |        298221 |        105197 |            169766
  435 |          39232 |        294973 |        295349 |             49286
  436 |          74173 |        216027 |        155155 |            222901
  437 |         216515 |        283574 |        105535 |             56788
  438 |         171273 |        210206 |        276944 |            211547
  439 |         282705 |        212210 |        211941 |            217499
  440 |         237501 |        172719 |         98006 |            274451
  441 |         305949 |        113884 |        244007 |             38046
  442 |         231508 |        100433 |         74313 |            300274
  443 |         273560 |         59280 |         91793 |             38330
  444 |         106585 |         85810 |         39982 |            301619
  445 |         317778 |        137875 |        256395 |            209216
  446 |         107978 |        158504 |        136492 |            162556
  447 |         139993 |        175220 |        143638 |             22555
  448 |          82358 |         83896 |        103295 |            193884
  449 |         225831 |         11424 |         17162 |            180444
  450 |         112662 |        143724 |          2905 |              9276
  451 |          27424 |        230005 |         40874 |            192864
  452 |         134809 |        271713 |        286827 |            115302
  453 |          33322 |        252913 |         87520 |            228416
  454 |         226255 |         97316 |        164546 |             40706
  455 |         139900 |         66293 |        117101 |            198170
  456 |         237636 |        278215 |          7392 |            206796
  457 |         292864 |        219091 |        242960 |             12400
  458 |         183958 |        272815 |        302243 |            140741
  459 |         315145 |          4829 |         44790 |            317096
  460 |         133611 |         26772 |        172621 |            134689
  461 |         289801 |        245709 |        139630 |              4529
  462 |         277520 |         82729 |        141477 |            155662
  463 |          42447 |        208251 |          5226 |            155702
  464 |         144740 |        318796 |        268214 |            143938
  465 |         308122 |        304290 |        131523 |            184454
  466 |         132463 |        265533 |        183638 |            112185
  467 |         299397 |        248793 |         83644 |            244658
  468 |         244145 |         66703 |        163593 |             33445
  469 |          80062 |         76074 |        149832 |             79419
  470 |         154485 |        256188 |        264668 |            284378
  471 |          99252 |        120695 |        137391 |            284185
  472 |         252675 |        288598 |         36210 |            247761
  473 |         134772 |        255503 |        128010 |             71975
  474 |         287499 |        247889 |         27338 |            191179
  475 |         149431 |        200433 |        167923 |             62689
  476 |         106107 |        133832 |        141752 |            183337
  477 |         245331 |        263330 |        168867 |            320431
  478 |         132053 |        308898 |        127055 |            168556
  479 |         220300 |        143933 |         89606 |            239799
  480 |         177008 |         96002 |        246321 |            102991
  481 |         119970 |        255778 |        251430 |             18753
  482 |          60516 |        269752 |         50160 |            114811
  483 |         109784 |        184809 |        112737 |            235142
  484 |         172783 |        112713 |         93627 |            245945
  485 |         146680 |        220147 |        213385 |            136300
  486 |         114006 |         21572 |        278042 |            114593
  487 |           3626 |         81694 |          4443 |             94524
  488 |          16556 |         34229 |        313185 |            127391
  489 |          19964 |        268453 |         42751 |             72348
  490 |          67464 |        284753 |        129850 |            300793
  491 |          78035 |        131965 |        179078 |             15764
  492 |         126844 |        243950 |        189887 |            287789
